# access \ dist,thread
# 3 iters
# memory size


vmstat_32t_4G_random_1
oom_kill 0 0 0 0 0 0
numa_pte_updates 22536 22536 0 47469 47530 61
numa_huge_pte_updates 0 0 0 0 0 0
numa_hint_faults 14156 14163 7 31092 31181 89
numa_hint_faults_local 8825 8832 7 22087 22175 88
numa_pages_migrated 5330 5330 0 8635 8636 1
pgmigrate_success 5330 12512 7182 10235305 19563642 9328337
pgmigrate_fail 0 0 0 12 13 1
thp_migration_success 0 0 0 0 0 0
thp_migration_fail 0 0 0 0 0 0
thp_migration_split 0 0 0 0 0 0
compact_migrate_scanned 0 3207352 3207352 94577696 164096910 69519214
compact_free_scanned 0 990642 990642 158083491 1265127027 1107043536
compact_isolated 0 14435 14435 20459406 39140736 18681330
compact_stall 0 0 0 0 0 0
compact_fail 0 0 0 0 0 0
compact_success 0 0 0 0 0 0
compact_daemon_wake 0 6 6 359 528 169
compact_daemon_migrate_scanned 0 3207352 3207352 3211622 3213807 2185
compact_daemon_free_scanned 0 990642 990642 995094 995103 9
htlb_buddy_alloc_success 0 0 0 0 0 0
htlb_buddy_alloc_fail 0 0 0 0 0 0
cma_alloc_success 0 0 0 0 0 0
cma_alloc_fail 0 0 0 0 0 0
unevictable_pgs_culled 66552 66552 0 71101 71101 0
unevictable_pgs_scanned 0 0 0 0 0 0
unevictable_pgs_rescued 29 29 0 4578 4578 0
unevictable_pgs_mlocked 4667 4667 0 9216 9216 0
unevictable_pgs_munlocked 29 29 0 29 29 0
unevictable_pgs_cleared 0 0 0 0 0 0
unevictable_pgs_stranded 0 0 0 4549 4549 0
thp_fault_alloc 0 0 0 0 0 0
thp_fault_fallback 0 0 0 0 0 0
thp_fault_fallback_charge 0 0 0 0 0 0
thp_collapse_alloc 0 0 0 0 0 0
thp_collapse_alloc_failed 0 0 0 0 0 0
thp_file_alloc 0 0 0 0 0 0
thp_file_fallback 0 0 0 0 0 0
thp_file_fallback_charge 0 0 0 0 0 0
thp_file_mapped 0 0 0 0 0 0
thp_split_page 0 0 0 0 0 0
thp_split_page_failed 0 0 0 0 0 0
thp_deferred_split_page 0 0 0 0 0 0
thp_split_pmd 0 0 0 0 0 0
thp_scan_exceed_none_pte 0 0 0 0 0 0
thp_scan_exceed_swap_pte 0 0 0 0 0 0
thp_scan_exceed_share_pte 0 0 0 0 0 0
thp_split_pud 0 0 0 0 0 0
thp_zero_page_alloc 0 0 0 0 0 0
thp_zero_page_alloc_failed 0 0 0 0 0 0
thp_swpout 0 0 0 0 0 0
thp_swpout_fallback 0 0 0 0 0 0
balloon_inflate 0 0 0 0 0 0
balloon_deflate 0 0 0 0 0 0
balloon_migrate 0 0 0 0 0 0
swap_ra 0 0 0 0 0 0
swap_ra_hit 0 0 0 0 0 0
ksm_swpin_copy 0 0 0 0 0 0
cow_ksm 0 0 0 0 0 0
zswpin 0 0 0 0 0 0
zswpout 0 0 0 0 0 0
direct_map_level2_splits 148 148 0 148 148 0
direct_map_level3_splits 2 2 0 2 2 0
nr_unstable 0 0 0 0 0 0

xxx xxx xxx xxx xxx xxx
xxx xxx xxx xxx xxx xxx

xxx xxx xxx xxx xxx xxx
xxx xxx xxx xxx xxx xxx



vmstat_32t_4G_normal:40_1
nr_free_pages 42260304 21509279 -20751025 42236750 21530011 -20706739
nr_zone_inactive_anon 2760 2840 80 2635 2589 -46
nr_zone_active_anon 76003 76078 75 76276 76288 12
nr_zone_inactive_file 10334 4477556 4467222 11265 20648289 20637024
nr_zone_active_file 49496 16243481 16193985 50026 64524 14498
nr_zone_unevictable 4638 4638 0 4638 4638 0
nr_zone_write_pending 9 0 -9 10 0 -10
nr_mlock 4638 4638 0 4638 4638 0
nr_bounce 0 0 0 0 0 0
nr_zspages 0 0 0 0 0 0
nr_free_cma 0 0 0 0 0 0
numa_hit 4905878960 5415651028 509772068 14981817327 15603321143 621503816
numa_miss 2398471 2456530 58059 11241674 11247652 5978
numa_foreign 2398471 2456530 58059 11241674 11247652 5978
numa_interleave 5706 5706 0 5706 5706 0
numa_local 4905861821 5415633599 509771778 14981797877 15603301411 621503534
numa_other 2415610 2473959 58349 11261124 11267384 6260
nr_inactive_anon 2760 2840 80 2635 2589 -46
nr_active_anon 76003 76078 75 76276 76288 12
nr_inactive_file 10329 4477557 4467228 11174 20648289 20637115
nr_active_file 49428 16243408 16193980 50026 64524 14498
nr_unevictable 4638 4638 0 4638 4638 0
nr_slab_reclaimable 15812 91032 75220 16346 91300 74954
nr_slab_unreclaimable 46370 47902 1532 47866 48808 942
nr_isolated_anon 0 0 0 0 0 0
nr_isolated_file 0 0 0 0 0 0
workingset_nodes 0 35 35 0 1 1
workingset_refault_anon 0 0 0 0 0 0
workingset_refault_file 4766922723 5243554554 476631831 14532621386 15120891328 588269942
workingset_activate_anon 0 0 0 0 0 0
workingset_activate_file 2019407572 2343183337 323775765 4066220187 4066220187 0
workingset_restore_anon 0 0 0 0 0 0
workingset_restore_file 1383806009 1686110275 302304266 6159697527 6744094561 584397034
workingset_nodereclaim 0 0 0 0 0 0
nr_anon_pages 80430 80592 162 80602 80624 22
nr_mapped 61456 61684 228 62983 63127 144
nr_file_pages 62649 20724101 20661452 64232 20715861 20651629
nr_dirty 9 0 -9 10 0 -10
nr_writeback 0 0 0 0 0 0
nr_writeback_temp 0 0 0 0 0 0
nr_shmem 1518 1555 37 1518 1555 37
nr_shmem_hugepages 0 0 0 0 0 0
nr_shmem_pmdmapped 0 0 0 0 0 0
nr_file_hugepages 0 0 0 0 0 0
nr_file_pmdmapped 0 0 0 0 0 0
nr_anon_transparent_hugepages 0 0 0 0 0 0
nr_vmscan_write 0 0 0 0 0 0
nr_vmscan_immediate_reclaim 5 5 0 5 5 0
nr_dirtied 33578568 33578866 298 33583780 33584758 978
nr_written 33578559 33578866 307 33583770 33584758 988
nr_throttled_written 0 0 0 0 0 0
nr_kernel_misc_reclaimable 0 0 0 0 0 0
nr_foll_pin_acquired 0 0 0 0 0 0
nr_foll_pin_released 0 0 0 0 0 0
nr_kernel_stack 16864 16864 0 16864 16800 -64
nr_page_table_pages 2569 2643 74 2570 2644 74
nr_swapcached 0 0 0 0 0 0
pgpromote_success 0 0 0 0 0 0
nr_dirty_threshold 8418444 8400485 -17959 8414023 8403000 -11023
nr_dirty_background_threshold 4204082 4195114 -8968 4201874 4196370 -5504
pgpgin 19471210748 21497015160 2025804412 59697137690 62169797490 2472659800
pgpgout 147822160 147824084 1924 147876136 147894968 18832
